,report_date as date,report_date,DSO Provider Flag,Adds,Savings,Discount of Adds,Actionable/Inactionable,Terms
88,2021-11-30,11-30-2021,DSO,,,,Actionable,4.308635467888656
89,2021-11-30,11-30-2021,DSO,,,,Inactionable,163.2357322977245
90,2021-11-30,11-30-2021,Non DSO,,,,Actionable,73.98542617717376
91,2021-11-30,11-30-2021,Non DSO,,,,Inactionable,473.28194868926647
92,2021-12-31,12-31-2021,DSO,,,,Actionable,2.5816697913607594
93,2021-12-31,12-31-2021,DSO,,,,Inactionable,97.80840409555334
94,2021-12-31,12-31-2021,Non DSO,,,,Actionable,44.33095841736618
95,2021-12-31,12-31-2021,Non DSO,,,,Inactionable,283.5834497565826
96,2020-01-31,01-31-2020,DSO,,,,Actionable,
97,2020-01-31,01-31-2020,DSO,,,,Inactionable,
98,2020-01-31,01-31-2020,Non DSO,,,,Actionable,
99,2020-01-31,01-31-2020,Non DSO,,,,Inactionable,
100,2020-02-29,02-28-2020,DSO,,,,Actionable,
101,2020-02-29,02-28-2020,DSO,,,,Inactionable,
102,2020-02-29,02-28-2020,Non DSO,,,,Actionable,
103,2020-02-29,02-28-2020,Non DSO,,,,Inactionable,
104,2020-03-31,03-31-2020,DSO,,,,Actionable,
105,2020-03-31,03-31-2020,DSO,,,,Inactionable,
106,2020-03-31,03-31-2020,Non DSO,,,,Actionable,
107,2020-03-31,03-31-2020,Non DSO,,,,Inactionable,
108,2020-04-30,04-30-2020,DSO,,,,Actionable,
109,2020-04-30,04-30-2020,DSO,,,,Inactionable,
110,2020-04-30,04-30-2020,Non DSO,,,,Actionable,
111,2020-04-30,04-30-2020,Non DSO,,,,Inactionable,
112,2020-05-31,05-31-2020,DSO,,,,Actionable,
113,2020-05-31,05-31-2020,DSO,,,,Inactionable,
114,2020-05-31,05-31-2020,Non DSO,,,,Actionable,
115,2020-05-31,05-31-2020,Non DSO,,,,Inactionable,
116,2020-06-30,06-30-2020,DSO,,,,Actionable,
117,2020-06-30,06-30-2020,DSO,,,,Inactionable,
118,2020-06-30,06-30-2020,Non DSO,,,,Actionable,
119,2020-06-30,06-30-2020,Non DSO,,,,Inactionable,
120,2020-07-31,07-31-2020,DSO,,,,Actionable,
121,2020-07-31,07-31-2020,DSO,,,,Inactionable,
122,2020-07-31,07-31-2020,Non DSO,,,,Actionable,
123,2020-07-31,07-31-2020,Non DSO,,,,Inactionable,
124,2020-08-31,08-31-2020,DSO,,,,Actionable,
125,2020-08-31,08-31-2020,DSO,,,,Inactionable,
126,2020-08-31,08-31-2020,Non DSO,,,,Actionable,
127,2020-08-31,08-31-2020,Non DSO,,,,Inactionable,
128,2020-09-30,09-30-2020,DSO,,,,Actionable,
129,2020-09-30,09-30-2020,DSO,,,,Inactionable,
130,2020-09-30,09-30-2020,Non DSO,,,,Actionable,
131,2020-09-30,09-30-2020,Non DSO,,,,Inactionable,
132,2020-10-31,10-31-2020,DSO,,,,Actionable,
133,2020-10-31,10-31-2020,DSO,,,,Inactionable,
134,2020-10-31,10-31-2020,Non DSO,,,,Actionable,
135,2020-10-31,10-31-2020,Non DSO,,,,Inactionable,
136,2020-11-30,11-30-2020,DSO,,,,Actionable,
137,2020-11-30,11-30-2020,DSO,,,,Inactionable,
138,2020-11-30,11-30-2020,Non DSO,,,,Actionable,
139,2020-11-30,11-30-2020,Non DSO,,,,Inactionable,
140,2020-12-31,12-31-2020,DSO,,,,Actionable,
141,2020-12-31,12-31-2020,DSO,,,,Inactionable,
142,2020-12-31,12-31-2020,Non DSO,,,,Actionable,
143,2020-12-31,12-31-2020,Non DSO,,,,Inactionable,
144,2022-01-31,01-31-2022,Non DSO,,,,Inactionable,392.22771511118333
145,2022-02-28,02-28-2022,Non DSO,,,,Inactionable,344.892005785722
146,2022-03-31,03-31-2022,Non DSO,,,,Inactionable,314.24347826996086
147,2022-04-30,04-30-2022,Non DSO,,,,Inactionable,346.1029408185709
148,2022-05-31,05-31-2022,Non DSO,,,,Inactionable,297.156572340149
149,2022-06-30,06-30-2022,Non DSO,,,,Inactionable,265.52864175276517
150,2022-07-31,07-31-2022,Non DSO,,,,Inactionable,212.04676333327546
151,2022-08-31,08-31-2022,Non DSO,,,,Inactionable,242.97742527086774
152,2022-09-30,09-30-2022,Non DSO,,,,Inactionable,293.9854043950198
153,2022-10-31,10-31-2022,Non DSO,,,,Inactionable,350.0803788068925
154,2022-11-30,11-30-2022,Non DSO,,,,Inactionable,339.11144914735974
155,2022-12-31,12-31-2022,Non DSO,,,,Inactionable,306.80532198457666
156,2022-01-31,01-31-2022,Non DSO,,,,Actionable,58.963971737901645
157,2022-02-28,02-28-2022,Non DSO,,,,Actionable,51.84794877642162
158,2022-03-31,03-31-2022,Non DSO,,,,Actionable,47.24052599464453
159,2022-04-30,04-30-2022,Non DSO,,,,Actionable,52.02998981101066
160,2022-05-31,05-31-2022,Non DSO,,,,Actionable,44.671834901390156
161,2022-06-30,06-30-2022,Non DSO,,,,Actionable,39.91717750867078
162,2022-07-31,07-31-2022,Non DSO,,,,Actionable,31.8771950032969
163,2022-08-31,08-31-2022,Non DSO,,,,Actionable,36.527031325561374
164,2022-09-30,09-30-2022,Non DSO,,,,Actionable,44.19511015734769
165,2022-10-31,10-31-2022,Non DSO,,,,Actionable,52.627921910393724
166,2022-11-30,11-30-2022,Non DSO,,,,Actionable,50.97895210657355
167,2022-12-31,12-31-2022,Non DSO,,,,Actionable,46.12234076678737
168,2022-01-31,01-31-2022,DSO,,,,Inactionable,152.86171488245955
169,2022-02-28,02-28-2022,DSO,,,,Inactionable,134.4137128063785
170,2022-03-31,03-31-2022,DSO,,,,Inactionable,122.46915536134057
