,report_date as date,report_date,DSO Provider Flag,Actionable/Inactionable,Terms
101,2022-06-30,06-30-2022,Non DSO,Inactionable,265.52864175276517
102,2022-07-31,07-31-2022,Non DSO,Inactionable,212.04676333327546
103,2022-08-31,08-31-2022,Non DSO,Inactionable,242.97742527086774
104,2022-09-30,09-30-2022,Non DSO,Inactionable,293.9854043950198
105,2022-10-31,10-31-2022,Non DSO,Inactionable,350.0803788068925
106,2022-11-30,11-30-2022,Non DSO,Inactionable,339.11144914735974
107,2022-12-31,12-31-2022,Non DSO,Inactionable,306.80532198457666
108,2022-01-31,01-31-2022,Non DSO,Actionable,58.963971737901645
109,2022-02-28,02-28-2022,Non DSO,Actionable,51.84794877642162
110,2022-03-31,03-31-2022,Non DSO,Actionable,47.24052599464453
111,2022-04-30,04-30-2022,Non DSO,Actionable,52.02998981101066
112,2022-05-31,05-31-2022,Non DSO,Actionable,44.671834901390156
113,2022-06-30,06-30-2022,Non DSO,Actionable,39.91717750867078
114,2022-07-31,07-31-2022,Non DSO,Actionable,31.8771950032969
115,2022-08-31,08-31-2022,Non DSO,Actionable,36.527031325561374
116,2022-09-30,09-30-2022,Non DSO,Actionable,44.19511015734769
117,2022-10-31,10-31-2022,Non DSO,Actionable,52.627921910393724
118,2022-11-30,11-30-2022,Non DSO,Actionable,50.97895210657355
119,2022-12-31,12-31-2022,Non DSO,Actionable,46.12234076678737
120,2022-01-31,01-31-2022,DSO,Inactionable,152.86171488245955
121,2022-02-28,02-28-2022,DSO,Inactionable,134.4137128063785
122,2022-03-31,03-31-2022,DSO,Inactionable,122.46915536134057
123,2022-04-30,04-30-2022,DSO,Inactionable,134.8856468350079
124,2022-05-31,05-31-2022,DSO,Inactionable,115.80992746428615
125,2022-06-30,06-30-2022,DSO,Inactionable,103.4836702379185
126,2022-07-31,07-31-2022,DSO,Inactionable,82.64034036761352
127,2022-08-31,08-31-2022,DSO,Inactionable,94.69485320307113
128,2022-09-30,09-30-2022,DSO,Inactionable,114.57403782263927
129,2022-10-31,10-31-2022,DSO,Inactionable,136.43576164920742
130,2022-11-30,11-30-2022,DSO,Inactionable,132.16087404289445
131,2022-12-31,12-31-2022,DSO,Inactionable,119.57030532718305
132,2022-01-31,01-31-2022,DSO,Actionable,0.9527392201815347
133,2022-02-28,02-28-2022,DSO,Actionable,0.8377585978236887
134,2022-03-31,03-31-2022,DSO,Actionable,0.7633119101468595
135,2022-04-30,04-30-2022,DSO,Actionable,0.8407000148996336
136,2022-05-31,05-31-2022,DSO,Actionable,0.7218070271319774
137,2022-06-30,06-30-2022,DSO,Actionable,0.644981324197553
138,2022-07-31,07-31-2022,DSO,Actionable,0.5150713734823557
139,2022-08-31,08-31-2022,DSO,Actionable,0.5902033786895016
140,2022-09-30,09-30-2022,DSO,Actionable,0.7141041138530149
141,2022-10-31,10-31-2022,DSO,Actionable,0.8503613953205449
142,2022-11-30,11-30-2022,DSO,Actionable,0.8237173589931095
143,2022-12-31,12-31-2022,DSO,Actionable,0.7452442852802268
