,State,MSA,Month,Monthly_Goals_Adds,YTD_Goals_Adds
115,CA,Bakersfield CA,2021-08-31,0.0,0.0
116,CA,Bakersfield CA,2021-09-30,0.0,0.0
117,CA,Bakersfield CA,2021-10-31,0.0,0.0
118,CA,Bakersfield CA,2021-11-30,0.0,0.0
119,CA,Bakersfield CA,2021-12-31,0.0,0.0
120,CA,Fresno CA,2021-01-31,0.0,0.0
121,CA,Fresno CA,2021-02-28,0.0,0.0
122,CA,Fresno CA,2021-03-31,0.0,0.0
123,CA,Fresno CA,2021-04-30,0.0,0.0
124,CA,Fresno CA,2021-05-31,0.0,0.0
125,CA,Fresno CA,2021-06-30,0.0,0.0
126,CA,Fresno CA,2021-07-31,0.0,0.0
127,CA,Fresno CA,2021-08-31,0.0,0.0
128,CA,Fresno CA,2021-09-30,0.0,0.0
129,CA,Fresno CA,2021-10-31,0.0,0.0
130,CA,Fresno CA,2021-11-30,0.0,0.0
131,CA,Fresno CA,2021-12-31,0.0,0.0
132,CA,Los Angeles CA,2021-01-31,0.0,0.0
133,CA,Los Angeles CA,2021-02-28,0.0,0.0
134,CA,Los Angeles CA,2021-03-31,0.0,0.0
135,CA,Los Angeles CA,2021-04-30,0.0,0.0
136,CA,Los Angeles CA,2021-05-31,0.0,0.0
137,CA,Los Angeles CA,2021-06-30,0.0,0.0
138,CA,Los Angeles CA,2021-07-31,0.0,0.0
139,CA,Los Angeles CA,2021-08-31,0.0,0.0
140,CA,Los Angeles CA,2021-09-30,0.0,0.0
141,CA,Los Angeles CA,2021-10-31,0.0,0.0
142,CA,Los Angeles CA,2021-11-30,0.0,0.0
143,CA,Los Angeles CA,2021-12-31,0.0,0.0
144,CA,Oakland CA,2021-01-31,0.0,0.0
145,CA,Oakland CA,2021-02-28,0.0,0.0
146,CA,Oakland CA,2021-03-31,0.0,0.0
147,CA,Oakland CA,2021-04-30,0.0,0.0
148,CA,Oakland CA,2021-05-31,0.0,0.0
149,CA,Oakland CA,2021-06-30,0.0,0.0
